# Code: sensitivity_master_dec2011.c (sll - 3 May 2012 Build), with reddening
# based on WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# -------------------------------------------
# For this data file:
# -------------------------------------------
# Base Filename = LISA2018_esaSTD 
# SNR = 1.000000 
# Optics diameter = 0.300000 meters
# Armlength = 2.500000e+09 meters
# Laser power = 1.000000 Watts
# Wavelength = 1.064000e-06 m
# Optical train efficiency = 0.300000 
# Reddening (1 + fr/f) @ fr = 0.000400 Hz
# Reddening index (1 + fr/f)^Ri -- Ri = 2.000000 
# Reddening 2 (1 + fr/f) @ fr = 0.000000 Hz
# Reddening index 2 (1 + fr/f)^Ri -- Ri = 8.000000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 1.524300e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Root Spectral Density, per root Hz
# Astrophysical Noise is No White Dwarf Noise
# -------------------------------------------
# f [Hz],hf [Hz^(-1/2)]
2.699528e-01,1.423333e-19
2.761901e-01,1.497408e-19
2.825713e-01,1.655480e-19
2.891002e-01,1.895416e-19
2.957797e-01,2.143998e-19
3.026138e-01,2.221671e-19
3.096055e-01,2.074842e-19
3.167591e-01,1.878434e-19
3.240778e-01,1.763158e-19
3.315655e-01,1.767948e-19
3.392262e-01,1.910068e-19
3.470640e-01,2.198644e-19
3.550829e-01,2.540170e-19
3.632872e-01,2.618162e-19
3.716807e-01,2.367578e-19
3.802684e-01,2.122951e-19
3.854081e-01,2.057297e-19
3.906171e-01,2.061740e-19
3.958964e-01,2.142110e-19
4.012470e-01,2.305010e-19
4.066701e-01,2.549651e-19
4.121665e-01,2.839224e-19
4.177372e-01,3.059679e-19
4.233830e-01,3.070234e-19
4.291054e-01,2.882549e-19
4.349049e-01,2.644606e-19
4.407828e-01,2.466428e-19
4.467403e-01,2.387774e-19
4.527781e-01,2.420383e-19
4.588977e-01,2.573166e-19
4.650998e-01,2.850471e-19
4.713860e-01,3.211100e-19
4.777571e-01,3.486262e-19
4.842140e-01,3.455123e-19
4.907586e-01,3.173962e-19
4.973914e-01,2.883042e-19
5.041138e-01,2.713460e-19
5.109273e-01,2.699616e-19
5.178326e-01,2.855202e-19
5.248314e-01,3.190529e-19
5.319248e-01,3.649669e-19
5.391141e-01,3.959516e-19
5.464003e-01,3.814169e-19
5.537852e-01,3.420482e-19
5.612699e-01,3.117176e-19
5.688558e-01,3.020940e-19
5.743108e-01,3.092488e-19
5.798181e-01,3.287956e-19
